Date,Clicks,Impressions,CTR,Position
2026-08-04,0,0,,
2026-08-05,0,0,,
2026-08-06,0,2,0%,43
2026-08-07,0,12,0%,82.7
2026-08-08,0,18,0%,77
2026-08-09,0,15,0%,80.5
2026-08-10,0,23,0%,64.3
2026-08-11,1,11,9.09%,61.7
2026-08-12,0,20,0%,71.8
2026-08-13,0,21,0%,80.3
2026-08-14,0,30,0%,69.2
2026-08-15,0,20,0%,75.7
2026-08-16,0,14,0%,60.6
2026-08-17,0,29,0%,62.8
2026-08-18,0,16,0%,59.2
2026-08-19,0,16,0%,69.2
2026-08-20,0,16,0%,61.3
2026-08-21,0,18,0%,74.6
2026-08-22,0,44,0%,77.4
2026-08-23,0,35,0%,72
2026-08-24,0,28,0%,71.6
